"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
228,676664,"Sears, JP",1079,21.1,0.175,0.088,0.214,0.263,0.226,0.276,0.21,10,57,90.4,10.5,2247,87.5,87.6,19,94,134,0.09999999999999432,6.38,111,155,117,148,294,321,287
227,664299,"Javier, Cristian",2554,8.9,0.163,0.082,0.259,0.245,0.225,0.23,0.146,8,49,88.4,19.5,2479,86.8,85.97,37,108,119,-0.7999999999999972,5.99,113,156,116,150,290,325,292
227,664054,"Stashak, Cody",227,100,0.25,0.125,0.306,0.375,0.265,0.263,0.238,16,64,87.9,23.7,2138,86.2,85.53,35,125,102,-0.7000000000000028,5.91,107,155,116,149,298,332,295
226,656232,"Bielak, Brandon",226,100,0.234,0.149,0.273,0.383,0.322,0.319,0.215,11,47,88.7,10.9,2265,89.2,87.52,19,96,130,-1.7000000000000028,5.47,111,155,118,148,290,326,288
224,664202,"Cyr, Tyler",224,100,0.224,0.163,0.29,0.388,0.309,0.321,0.254,11,49,93.6,11.7,1857,90.9,92.39,28,107,117,1.5,7.11,113,153,122,151,303,324,299
223,657649,"Koenig, Jared",653,34.2,0.241,0.074,0.289,0.315,0.273,0.281,0.246,13,54,89.8,13.3,2093,85.3,85.64,17,101,122,0.29999999999999716,6.59,113,152,119,149,302,326,300
222,677161,"Kelly, Zack",222,100,0.259,0.167,0.286,0.426,0.316,0.26,0.198,14,54,85,12.5,2292,88.4,88.75,18,102,120,0.3999999999999915,6.68,108,158,112,151,293,329,293
217,518585,"Cruz, Fernando",260,83.5,0.205,0.114,0.32,0.318,0.304,0.301,0.205,9,44,85.6,5,1976,87.2,88.44,37,98,119,1.2000000000000028,6.97,115,150,118,147,290,311,287
215,676637,"Sanders, Phoenix",215,100,0.226,0.113,0.286,0.34,0.261,0.323,0.266,12,53,91.6,13.4,2137,82.3,80.84,20,115,100,-1.5,5.98,106,172,120,148,297,320,299
213,664161,"Swarmer, Matt",657,32.4,0.278,0.167,0.391,0.444,0.386,0.391,0.276,10,36,89,10.4,2121,85.1,84.98,29,95,118,-0.09999999999999432,6.19,113,152,118,157,303,326,298
211,667498,"Dugger, Robert",284,74.3,0.306,0.143,0.452,0.449,0.347,0.293,0.252,15,49,90.6,18.8,2031,83,82.63,35,107,104,-0.4000000000000057,6.16,112,151,121,148,295,320,296
211,667376,"Sánchez, Miguel",211,100,0.245,0.265,0.237,0.51,0.353,0.34,0.257,12,49,85.4,5.9,1862,90.4,90.19,23,95,116,-0.20000000000000284,6.12,112,151,117,145,295,317,296
209,592848,"Weiss, Zack",209,100,0.152,0.152,0.185,0.304,0.247,0.242,0.168,7,46,86.4,20,2497,89.5,89.11,39,95,114,-0.4000000000000057,6.11,109,153,116,148,293,319,288
208,664944,"Vieaux, Cam",208,100,0.366,0.22,0.542,0.585,0.445,0.348,0.23,15,41,90.8,15.3,2273,86.5,86.04,23,93,115,-0.5,5.96,111,153,115,149,298,322,298
208,664042,"Lakins Sr., Travis",208,100,0.326,0.302,0.344,0.628,0.446,0.435,0.324,14,43,92.1,17.6,2353,89.3,88.83,20,100,108,-0.5,5.95,107,154,116,147,307,321,290
207,607229,"Gsellman, Robert",207,100,0.279,0.197,0.3,0.475,0.34,0.4,0.321,17,61,90.2,10.9,1995,90.5,90.53,25,103,104,0,6.3,109,153,116,150,298,316,287
205,660906,"Pérez, Francisco",205,100,0.333,0.205,0.367,0.538,0.434,0.424,0.308,13,39,93,15.1,2185,89.5,88.82,19,92,113,-0.7000000000000028,5.9,110,154,122,146,300,316,296
204,548389,"Stripling, Ross",2033,10,0.233,0.14,0.281,0.372,0.306,0.284,0.203,10,43,87.9,9,2053,85.8,85.3,28,100,104,-0.5,6.04,109,166,122,150,292,316,300
203,655889,"Rodríguez, Manuel",203,100,0.208,0.146,0.231,0.354,0.311,0.353,0.278,10,48,80.3,6.8,2207,92.6,92.61,22,98,105,0,6.24,111,152,115,149,299,318,290
198,642028,"Rogers, Josh",419,47.3,0.217,0.217,0.184,0.435,0.325,0.336,0.237,10,46,85.5,22.6,2051,86.2,85.75,12,95,103,-0.5,6.16,114,158,125,144,301,325,302
196,657585,"Garrett, Reed",196,100,0.325,0.1,0.364,0.425,0.387,0.381,0.295,13,40,88.9,9.5,2210,93.6,93.8,20,93,103,0.20000000000000284,6.39,108,152,122,146,301,318,298
196,656887,"Reid-Foley, Sean",196,100,0.194,0.222,0.222,0.417,0.336,0.284,0.168,7,36,85,20.2,2072,90.9,91.96,29,91,105,1.0999999999999943,6.92,115,149,116,147,297,329,305
195,661255,"López, Yoan",195,100,0.311,0.244,0.364,0.556,0.402,0.311,0.234,14,45,94.5,16.9,2222,90.8,91.27,27,94,101,0.5,6.83,111,154,120,148,298,327,300
194,663773,"Hoeing, Bryan",267,72.7,0.289,0.368,0.25,0.658,0.416,0.437,0.327,11,38,90.1,8.2,2021,91.2,91.79,9,82,112,0.5999999999999943,6.81,110,156,122,151,303,314,289
193,669084,"Hall, DL",269,71.7,0.286,0.024,0.414,0.31,0.29,0.234,0.214,12,42,82.2,12,2319,91.2,91.75,32,101,92,0.5,6.76,106,148,117,147,299,317,293
193,640470,"Alzolay, Adbert",193,100,0.184,0.163,0.276,0.347,0.252,0.233,0.179,9,49,85.7,16.7,2414,90.5,90.72,34,100,93,0.20000000000000284,6.43,111,152,116,149,295,320,289
192,643400,"Knight, Dusten",192,100,0.25,0.318,0.226,0.568,0.368,0.351,0.242,11,44,85.8,15.2,1943,83.1,83.07,21,93,99,0,6.42,101,156,117,148,304,322,295
192,571510,"Boyd, Matthew",192,100,0.116,0,0.167,0.116,0.175,0.257,0.188,5,43,79.3,13.3,2350,85.9,85.75,27,90,102,-0.10000000000000853,6.12,112,155,119,148,295,320,296
192,669804,"De Jesus, Angel",192,100,0.188,0.146,0.179,0.333,0.276,0.335,0.255,9,48,92,19.7,2258,89.8,91.26,18,91,101,1.5,7.27,115,157,122,148,301,331,292
187,657424,"Gage, Matt",187,100,0.146,0.098,0.172,0.244,0.23,0.273,0.195,6,41,85.4,14,2159,89.5,89.52,28,94,93,0,6.29,111,150,123,146,292,317,293
186,669711,"Weissert, Greg",186,100,0.146,0.098,0.172,0.244,0.245,0.265,0.164,6,41,83.9,16.8,2350,89,88.51,15,76,110,-0.5,6.11,106,150,117,148,296,328,290
183,608652,"Farrell, Luke",285,64.2,0.278,0.111,0.346,0.389,0.354,0.385,0.296,10,36,91.3,17.8,2396,86,86.18,12,67,116,0.20000000000000284,6.3,110,149,117,149,299,323,295
182,650382,"Hernández, Darwinzon",182,100,0.424,0.394,0.5,0.818,0.569,0.454,0.315,14,33,91.2,16.1,2473,89.6,90.06,28,84,98,0.5,6.8,111,151,120,149,296,328,296
182,657093,"Watkins, Spenser",1642,11.1,0.438,0.104,0.476,0.542,0.447,0.375,0.35,21,48,90,15.8,2330,86.8,86.5,10,84,98,-0.29999999999999716,6.18,107,152,119,149,291,320,294
181,678692,"Henriquez, Ronny",181,100,0.178,0.178,0.2,0.356,0.272,0.272,0.19,8,45,88.6,8,2245,88.3,88.82,21,86,95,0.5,6.47,115,155,120,150,290,317,290
181,656657,"Logue, Zach",1022,17.7,0.395,0.289,0.419,0.684,0.483,0.385,0.311,15,38,90.6,13.7,2132,86.3,85.29,19,91,90,-1,5.61,106,150,120,149,305,321,295
177,681799,"Roberts, Ethan",177,100,0.323,0.419,0.368,0.742,0.494,0.434,0.3,10,31,89.1,13.7,2722,89.8,89.85,16,87,90,0.10000000000000853,6.26,111,151,123,154,299,321,295
174,592454,"Kahnle, Tommy",174,100,0.128,0.154,0.125,0.282,0.24,0.242,0.155,5,39,80.7,-8,1515,91.1,91.71,30,96,78,0.6000000000000085,6.59,112,154,116,148,294,317,296
174,573668,"Minaya, Juan",174,100,0.216,0.027,0.308,0.243,0.29,0.278,0.183,8,37,88.7,4.5,1983,90.6,91.19,24,80,94,0.6000000000000085,6.59,111,157,119,149,299,329,289
173,667465,"Fletcher, Aaron",173,100,0.233,0.186,0.216,0.419,0.324,0.357,0.252,10,43,90.8,12.4,2062,83.8,82.75,23,79,94,-1,5.79,109,152,126,148,306,324,306
171,670288,"Fishman, Jake",171,100,0.289,0.111,0.333,0.4,0.324,0.316,0.284,13,45,89.2,7.4,2109,82.8,82.5,11,85,86,-0.29999999999999716,6.3,107,150,116,149,294,312,290
164,663531,"Allen, Logan",164,100,0.353,0.176,0.444,0.529,0.424,0.38,0.284,12,34,89.7,14.6,2117,85.4,84.72,15,66,98,-0.7000000000000028,5.91,104,149,116,147,303,322,298
163,672911,"Cruz, Jesus",163,100,0.235,0.294,0.2,0.529,0.371,0.362,0.246,8,34,91,20.6,2281,91.7,91.31,21,82,81,-0.4000000000000057,6.05,114,154,130,148,298,330,304
160,663753,"Knehr, Reiss",242,66.1,0.194,0.194,0.231,0.389,0.292,0.312,0.231,7,36,89.7,16,2226,88.5,89.16,10,70,90,0.7000000000000028,6.6,110,157,124,149,298,317,297
160,641394,"Brentz, Jake",160,100,0.423,0.192,0.625,0.615,0.521,0.467,0.351,11,26,85.7,13.2,2206,91.9,92.74,16,51,109,0.7999999999999972,6.67,102,147,113,142,299,320,300
159,663947,"Holton, Tyler",159,100,0.222,0.111,0.241,0.333,0.275,0.293,0.24,8,36,86.6,21.5,2067,85.5,86.03,24,81,78,0.5,6.65,110,152,120,148,300,319,297
158,518397,"Alexander, Scott",214,73.8,0.2,0.089,0.222,0.289,0.222,0.23,0.199,9,45,85,-9.2,2102,90,90.12,18,80,78,0.09999999999999432,6.12,112,153,119,149,300,324,299
157,643230,"Brault, Steven",157,100,0.242,0.152,0.32,0.394,0.336,0.264,0.164,8,33,92.9,11,2084,87.9,89.08,19,64,93,1.1999999999999886,7.11,108,149,105,153,292,315,292
157,676660,"Solomon, Jared",157,100,0.242,0.303,0.238,0.545,0.389,0.251,0.158,8,33,90.9,22.7,2306,90.8,90.26,21,71,86,-0.5,5.95,118,152,124,148,291,318,291
156,656578,"Jackson, Andre",156,100,0.243,0.081,0.321,0.324,0.288,0.285,0.22,9,37,87.3,13.2,1952,88.8,89.13,22,84,72,0.29999999999999716,6.44,107,153,119,143,301,311,292
154,670124,"Oller, Adam",1294,11.9,0.25,0.063,0.286,0.313,0.334,0.314,0.222,8,32,87.4,11.9,2112,90.8,90.88,17,75,79,0.10000000000000853,6.34,109,149,114,147,301,317,291
154,621079,"Wiles, Collin",154,100,0.289,0.184,0.357,0.474,0.353,0.297,0.246,11,38,87.4,4.6,2189,86.2,86.88,22,75,79,0.7000000000000028,6.75,106,146,121,146,306,329,299
154,605156,"Brooks, Aaron",154,100,0.275,0.325,0.267,0.6,0.393,0.456,0.336,11,40,91.1,7.9,2091,89,88.67,14,72,82,-0.29999999999999716,6.21,114,157,121,148,295,319,297
153,607755,"Vasquez, Andrew",153,100,0.188,0.094,0.238,0.281,0.292,0.335,0.225,6,32,89.5,6.2,2461,82.6,81.99,15,51,102,-0.5999999999999943,6.19,109,151,124,149,294,316,296
152,593643,"Alberto, Hanser",152,100,0.238,0.19,0.2,0.429,0.314,0.334,0.254,10,42,90.4,26.5,1493,64.7,63.19,2,73,79,-1.5,4.76,120,158,135,150,305,317,300
152,669935,"Alexy, A.J.",152,100,0.345,0.172,0.409,0.517,0.447,0.422,0.313,10,29,92.6,2.3,2190,89.4,89.46,9,49,103,0.20000000000000284,6.46,111,153,116,147,285,312,293
149,621114,"Burr, Ryan",149,100,0.229,0.314,0.2,0.543,0.363,0.38,0.278,8,35,92,3.1,2209,90.9,91.97,13,65,84,1.0999999999999943,6.8,111,151,110,144,301,323,297
149,571446,"Appel, Mark",149,100,0.243,0.054,0.281,0.297,0.269,0.276,0.241,9,37,91.5,6.4,1851,92.2,93.25,12,57,92,1.0999999999999943,7.06,109,154,122,147,302,331,293
149,669713,"Wesneski, Hayden",495,30.1,0.188,0.219,0.211,0.406,0.277,0.249,0.17,6,32,88.9,16.3,2277,88.3,88.8,16,78,71,0.5,6.73,114,154,119,150,302,326,291
149,676840,"Peacock, Matt",149,100,0.286,0.095,0.314,0.381,0.324,0.299,0.254,12,42,87.9,2.1,2207,90.5,88.83,17,77,72,-1.7000000000000028,5.3,107,153,121,148,300,328,302
148,686613,"Brown, Hunter",309,47.9,0.219,0.063,0.333,0.281,0.269,0.228,0.177,7,32,86.1,-2.6,2261,91.1,91.2,18,65,83,0.10000000000000853,6.58,115,151,119,149,290,321,297
145,605488,"Springs, Jeffrey",2149,6.7,0.121,0,0.182,0.121,0.156,0.212,0.162,4,33,86.3,12.9,1844,86,85.98,30,75,70,0,6.48,107,152,116,148,301,323,301
143,668970,"Hollowell, Gavin",143,100,0.259,0.148,0.316,0.407,0.328,0.262,0.194,7,27,87.7,26.6,2445,88.1,89.47,18,63,80,1.4000000000000057,7.01,109,147,124,144,304,328,299
143,641682,"Hendrix, Ryan",143,100,0.3,0.1,0.429,0.4,0.377,0.255,0.157,9,30,88.8,9.1,2197,89.9,89.09,22,56,87,-0.8000000000000114,5.87,109,150,122,147,294,322,299
142,641907,"Murphy, Patrick",142,100,0.32,0,0.364,0.32,0.37,0.36,0.244,8,25,87.4,4.8,2190,91.6,91.94,12,67,75,0.30000000000001137,6.62,109,150,122,144,293,317,292
140,660730,"Rodriguez, Elvin",534,26.2,0.345,0.345,0.368,0.69,0.471,0.415,0.294,10,29,89,19.8,2423,88.4,88.56,12,69,71,0.19999999999998863,6.53,111,161,134,150,304,331,294
139,607457,"Barraclough, Kyle",139,100,0.219,0.094,0.292,0.313,0.272,0.324,0.241,7,32,91.1,21.8,2404,86,85.84,26,69,70,-0.20000000000000284,6.43,106,147,109,142,299,320,291
137,489446,"Yates, Kirby",137,100,0.222,0.333,0.2,0.556,0.371,0.336,0.2,6,27,90.1,22.9,1833,90,89.6,17,57,80,-0.4000000000000057,6.07,116,155,131,147,311,317,298
136,670329,"Garcia, Rico",136,100,0.25,0.219,0.214,0.469,0.34,0.33,0.26,8,32,90.9,27.5,2302,91.6,91.02,9,68,68,-0.5999999999999943,5.99,112,158,115,150,296,319,295
135,607391,"Mazza, Chris",135,100,0.333,0.333,0.316,0.667,0.488,0.503,0.361,9,27,89.7,14.1,2094,83.4,84.08,15,62,73,0.6999999999999886,6.91,107,152,111,145,306,324,299
135,641853,"McKay, David",135,100,0.296,0.185,0.292,0.481,0.368,0.431,0.321,8,27,91.1,13.4,2263,87.3,87.88,8,58,77,0.6000000000000085,6.66,112,154,120,149,301,325,292
133,644429,"Severino, Anderson",133,100,0.25,0.071,0.368,0.321,0.328,0.313,0.23,7,28,89.7,-4,2009,91.9,91.63,17,54,79,-0.30000000000001137,6.11,108,148,113,143,294,319,294
132,686752,"Pepiot, Ryan",737,17.9,0.222,0,0.333,0.222,0.303,0.274,0.165,4,18,88.2,4.3,2414,90.2,91.46,16,57,75,1.2999999999999972,6.86,111,163,126,149,295,315,297
131,571760,"Heaney, Andrew",1230,10.7,0.25,0.156,0.389,0.406,0.294,0.24,0.202,8,32,92.2,24,2437,90,89.6,23,66,65,-0.4000000000000057,6.25,109,156,116,147,300,315,290
129,608371,"Sims, Lucas",129,100,0.217,0.087,0.263,0.304,0.323,0.341,0.229,5,23,87.9,7.4,2688,87.2,86.1,10,48,81,-1.1000000000000085,5.55,115,152,119,145,293,320,288
129,672710,"Contreras, Roansy",1588,8.1,0.148,0.148,0.188,0.296,0.254,0.245,0.157,4,27,82.9,6.2,2583,89.8,89.48,24,63,66,-0.29999999999999716,6.24,105,151,122,148,311,326,308
128,656818,"Overton, Connor",469,27.3,0.194,0.129,0.192,0.323,0.275,0.239,0.175,6,31,88,20,2158,86.5,86.41,10,66,62,-0.09999999999999432,6.26,113,153,119,146,287,319,285
127,543901,"Weber, Ryan",127,100,0.167,0.111,0.156,0.278,0.204,0.332,0.303,6,36,90.1,6.2,2167,84.5,82.99,6,57,70,-1.5,5.39,115,155,125,152,296,324,283
127,571946,"Miller, Shelby",127,100,0.222,0.111,0.462,0.333,0.269,0.215,0.177,6,27,90.3,23.5,2427,87.6,88.76,11,50,77,1.2000000000000028,7.18,111,152,116,151,298,327,301
126,664942,"Naile, James",126,100,0.229,0.171,0.214,0.4,0.293,0.362,0.3,8,35,90.1,9.2,1971,88.4,88.79,13,66,60,0.3999999999999915,6.52,109,150,121,148,304,321,300
126,664849,"Young, Danny",126,100,0.367,0.167,0.435,0.533,0.408,0.323,0.275,11,30,84.1,5.9,2438,82.3,81.15,13,54,72,-1.2000000000000028,5.75,119,152,126,149,292,318,293
125,623437,"Topa, Justin",125,100,0.29,0.032,0.333,0.323,0.306,0.303,0.248,9,31,87,-8.3,2296,91.4,90.41,7,51,74,-1,5.78,109,151,119,147,293,318,296
123,656970,"Smeltzer, Devin",1129,10.9,0.276,0.034,0.308,0.31,0.285,0.289,0.259,8,29,87,14.1,2208,83.3,82.67,10,56,67,-0.5999999999999943,5.9,111,153,118,149,293,330,290
122,650959,"Diplán, Marcos",122,100,0.182,0.045,0.286,0.227,0.272,0.323,0.225,4,22,88.2,11.9,2294,88.6,89.68,11,53,69,1.1000000000000085,6.9,112,163,122,150,290,322,299
122,670046,"Rosenberg, Kenny",193,63.2,0.292,0.167,0.353,0.458,0.351,0.314,0.269,7,24,89.4,22.1,1929,85.5,84.71,14,59,63,-0.7999999999999972,5.66,116,151,120,151,292,328,287
121,570632,"Ureña, José",1622,7.5,0.241,0.138,0.222,0.379,0.311,0.358,0.241,7,29,86.2,7.1,2136,92.4,92.19,11,51,70,-0.20000000000000284,6.17,109,150,120,146,297,311,290
120,670426,"Diehl, Phillip",120,100,0.32,0.48,0.263,0.8,0.487,0.435,0.317,8,25,94.5,20.4,2402,87.4,86.24,13,56,64,-1.2000000000000028,5.54,122,154,124,150,296,321,295
120,656290,"Carlton, Drew",120,100,0.129,0.097,0.125,0.226,0.148,0.307,0.251,4,31,91.7,12.5,2005,87.7,87.53,13,66,54,-0.20000000000000284,6.08,109,153,121,148,298,324,294
120,669854,"Blanco, Ronel",120,100,0.296,0.259,0.368,0.556,0.414,0.414,0.295,8,27,89.1,15.8,2200,90.7,91.71,24,70,50,1,6.92,117,151,118,149,293,314,289
118,656814,"Ortiz, Luis F.",118,100,0.167,0,0.208,0.167,0.197,0.277,0.207,5,30,85.1,16.2,2198,89.7,88.99,16,60,58,-0.7000000000000028,5.87,108,155,122,148,300,320,299
117,676265,"Abbott, Cory",845,13.8,0.125,0.25,0.095,0.375,0.237,0.2,0.121,4,32,91.7,33,2226,90.2,89.96,15,55,62,-0.20000000000000284,6.17,116,159,128,147,298,318,299
117,669093,"Estrada, Jeremiah",117,100,0.286,0.286,0.385,0.571,0.386,0.319,0.24,6,21,85.9,15.9,2283,93.1,93.39,21,67,50,0.30000000000001137,6.62,109,150,114,152,301,319,289
116,668684,"Tully, Tanner",116,100,0.333,0.25,0.333,0.583,0.443,0.427,0.308,8,24,91.1,20,2021,87.2,86.82,12,57,59,-0.4000000000000057,6,109,149,121,147,297,316,291
115,527055,"Vizcaíno, Arodys",115,100,0.182,0.182,0.167,0.364,0.342,0.44,0.292,4,22,94.3,14.7,2251,92.1,91.18,11,45,70,-0.8999999999999915,5.78,104,153,122,149,300,320,307
114,542881,"Anderson, Tyler",2576,4.4,0.143,0,0.2,0.143,0.166,0.25,0.222,4,28,80.7,13.5,2193,85.4,85.39,18,65,49,0,6.03,112,158,122,151,300,318,296
114,606273,"Elías, Roenis",114,100,0.233,0.133,0.261,0.367,0.298,0.256,0.201,7,30,87.9,12.6,2121,87.2,85.83,12,62,52,-1.4000000000000057,5.53,109,151,121,147,295,321,284
113,461325,"Clippard, Tyler",113,100,0.286,0.238,0.313,0.524,0.434,0.33,0.179,6,21,79.5,14.6,1865,82.5,82.14,9,48,65,-0.4000000000000057,6.11,117,154,126,145,300,314,300
112,656605,"Keller, Mitch",2661,4.2,0.348,0.043,0.471,0.391,0.379,0.324,0.245,8,23,83,8.7,2293,90.4,90.48,11,48,64,0.09999999999999432,6.38,106,154,114,150,303,320,298
111,643361,"Herget, Kevin",111,100,0.321,0.179,0.346,0.5,0.328,0.266,0.25,9,28,89.7,17.1,2113,86.3,85.21,11,55,56,-1.0999999999999943,5.79,104,155,111,145,282,320,303
111,656492,"Griffin, Foster",111,100,0.304,0.217,0.35,0.522,0.408,0.465,0.338,7,23,88.2,1.9,2123,88,88.05,11,44,67,0.09999999999999432,6.22,103,147,112,140,302,322,298
111,656786,"Mushinski, Parker",111,100,0.192,0.077,0.278,0.269,0.265,0.311,0.248,5,26,85.6,8.7,2540,84.5,84.38,21,55,56,-0.09999999999999432,6.41,118,153,114,150,286,320,289
111,607359,"Patton, Spencer",111,100,0.174,0.13,0.167,0.304,0.284,0.288,0.188,4,23,87.6,11.4,1913,87.2,87.01,12,48,63,-0.20000000000000284,6.24,112,150,117,146,302,321,297
110,660761,"Suarez, José",1783,6.2,0.269,0.115,0.375,0.385,0.299,0.233,0.191,7,26,88.7,13.8,2070,83.9,83.69,18,53,57,-0.20000000000000284,6.17,114,153,114,152,298,322,293
108,663455,"Pilkington, Konnor",1039,10.4,0.087,0,0.118,0.087,0.168,0.337,0.218,2,23,90.7,6.8,2135,89,89.25,13,48,60,0.29999999999999716,6.52,110,154,118,148,295,312,289
106,592169,"Brice, Austin",106,100,0.167,0.083,0.211,0.25,0.235,0.267,0.217,4,24,85.5,8.2,2430,88,86.95,8,43,63,-1.0999999999999943,5.57,112,154,121,152,300,320,298
105,676103,"Jones, Damon",105,100,0.222,0.111,0.308,0.333,0.381,0.351,0.202,4,18,87.3,21.6,2413,88.5,87.42,14,41,64,-1.0999999999999943,6.17,107,150,113,146,294,320,282
104,686972,"Waites, Cole",104,100,0.286,0.333,0.313,0.619,0.429,0.339,0.243,6,21,90.8,17.4,2256,92.4,93.92,9,52,52,1.5,7.15,111,152,117,146,307,326,300
103,669145,"Zimmermann, Bruce",1130,9.1,0.333,0.367,0.292,0.7,0.447,0.357,0.294,10,30,92,7.4,2204,86.4,86,7,50,53,-0.4000000000000057,6.01,113,158,116,149,301,319,298
